Date,Net Amount,Store Ticket Count
2018-03-07,4574,62
2018-03-08,14938,67
2018-03-09,7773,84
2018-03-10,13606,85
2018-03-11,6338,66
2018-03-12,7789,73
2018-03-13,9275,61
2018-03-14,7574,82
2018-03-15,5738,59
2018-03-16,11518,83
2018-03-17,10823,79
2018-03-18,5743,45
2018-03-19,5122,64
2018-03-20,6024,65
2018-03-21,5279,51
2018-03-22,8575,64
2018-03-23,6418,68
2018-03-24,10184,94
2018-03-25,9057,47
2018-03-26,6163,63
2018-03-27,2935,27
2018-03-28,3657,56
2018-03-29,6423,52
2018-03-30,12338,111
2018-03-31,13176,97
2018-04-02,5951,59
2018-04-03,4733,56
2018-04-04,7531,64
2018-04-05,4691,53
2018-04-06,9116,75
2018-04-07,11790,80
2018-04-08,2269,36
2018-04-09,3297,50
2018-04-10,6800,50
2018-04-11,4870,52
2018-04-12,4851,43
2018-04-13,10593,74
2018-04-14,9807,87
2018-04-15,3220,47
2018-04-16,9225,73
2018-04-17,10121,50
2018-04-18,5950,62
2018-04-19,4177,54
2018-04-20,8875,78
2018-04-21,7961,64
2018-04-22,3616,63
2018-04-23,7805,62
2018-04-24,12250,53
2018-04-25,2804,42
2018-04-26,3865,59
2018-04-27,5357,86
2018-04-28,6419,84
2018-04-29,4592,49
2018-04-30,10113,94
2018-05-01,5674,59
2018-05-02,5368,56
2018-05-03,3259,44
2018-05-04,6433,61
2018-05-05,10001,92
2018-05-06,3513,60
2018-05-07,5642,65
2018-05-08,4831,56
2018-05-09,8948,61
2018-05-10,6030,63
2018-05-11,5251,59
2018-05-12,7337,80
2018-05-13,3597,39
2018-05-14,5490,62
2018-05-15,11404,50
2018-05-16,10339,71
2018-05-17,6049,66
2018-05-18,18836,89
2018-05-19,9376,87
2018-05-20,5656,42
2018-05-21,7348,62
2018-05-22,10369,58
2018-05-23,5077,56
2018-05-24,10486,60
2018-05-25,7208,74
2018-05-26,7248,88
2018-05-27,4499,47
2018-05-28,9312,91
2018-05-29,7329,76
2018-05-30,6156,81
2018-05-31,7552,86
2018-06-01,8064,81
2018-06-02,8261,92
2018-06-03,6857,58
2018-06-04,6087,54
2018-06-05,5712,61
2018-06-06,6091,70
2018-06-07,5596,52
2018-06-08,7391,71
2018-06-09,6226,82
2018-06-10,6068,55
2018-06-11,8267,65
2018-06-12,7923,62
2018-06-13,8056,63
2018-06-14,4331,62
2018-06-15,5764,80
2018-06-16,7279,78
2018-06-17,7558,47
2018-06-18,9914,61
2018-06-19,5369,56
2018-06-20,5932,59
2018-06-21,4403,49
2018-06-22,9922,90
2018-06-23,11398,91
2018-06-24,4257,56
2018-06-25,6403,68
2018-06-26,9316,62
2018-06-27,4556,57
2018-06-28,9079,65
2018-06-29,8676,87
2018-06-30,13535,110
2018-07-01,6220,61
2018-07-02,4850,62
2018-07-03,7230,75
2018-07-05,7581,89
2018-07-06,13744,87
2018-07-07,10952,95
2018-07-08,4179,46
2018-07-09,6168,77
2018-07-10,7370,63
2018-07-11,4034,48
2018-07-12,13168,60
2018-07-13,13672,75
2018-07-14,14798,90
2018-07-15,7068,51
2018-07-16,7305,70
2018-07-17,4014,59
2018-07-18,5862,69
2018-07-19,7021,70
2018-07-20,7997,78
2018-07-21,10050,92
2018-07-22,3932,54
2018-07-23,5938,67
2018-07-24,6564,47
2018-07-25,7935,72
2018-07-26,8386,65
2018-07-27,12845,84
2018-07-28,9579,87
2018-07-29,5429,66
2018-07-30,10227,80
2018-07-31,7727,67
2018-08-01,5929,63
2018-08-02,5741,60
2018-08-03,6436,81
2018-08-04,15797,85
2018-08-05,4590,61
2018-08-06,10591,79
2018-08-07,5562,54
2018-08-08,5280,65
2018-08-09,6057,51
2018-08-10,9322,70
2018-08-11,10432,72
2018-08-12,4153,40
2018-08-13,5030,46
2018-08-14,7468,51
2018-08-15,5259,56
2018-08-16,5555,58
2018-08-17,5999,70
2018-08-18,11354,90
2018-08-19,3654,54
2018-08-20,7416,64
2018-08-21,6714,54
2018-08-22,5188,61
2018-08-23,6305,44
2018-08-24,8897,74
2018-08-25,8794,75
2018-08-26,3674,68
2018-08-27,4850,59
2018-08-28,10618,65
2018-08-29,4866,62
2018-08-30,5678,56
2018-08-31,8116,97
2018-09-01,11333,89
2018-09-02,4174,64
2018-09-03,6166,48
2018-09-04,5239,57
2018-09-05,4569,53
2018-09-06,5434,48
2018-09-07,9218,71
2018-09-08,9192,56
2018-09-09,6033,50
2018-09-10,4832,47
2018-09-11,3415,48
2018-09-12,7302,44
2018-09-13,4030,40
2018-09-14,8210,62
2018-09-15,5719,68
2018-09-16,5564,54
2018-09-17,5521,56
2018-09-18,6733,47
2018-09-19,5105,49
2018-09-20,4594,51
2018-09-21,9903,83
2018-09-22,7308,73
2018-09-23,10328,44
2018-09-24,5230,57
2018-09-25,5509,46
2018-09-26,4034,40
2018-09-27,4513,53
2018-09-28,5942,71
2018-09-29,5528,80
2018-09-30,4646,65
2018-10-01,5715,72
2018-10-02,4796,62
2018-10-03,3730,48
2018-10-04,4747,57
2018-10-05,8190,80
2018-10-06,6513,78
2018-10-07,3483,44
2018-10-08,12848,80
2018-10-09,4703,46
2018-10-10,5353,54
