,Net Sales,Car Count,Ticket Avg,COGS %,Labor %
128,34801.38,363.0,92.8037,0.22358499999999998,0.23057600000000003
129,4955.76,59.0,81.242,0.199374,0.311407
130,29614.7,343.0,83.4217,0.220494,0.213425
131,26304.01,315.0,80.6871,0.258874,0.23195700000000002
132,21213.44,295.0,69.5523,0.206515,0.24913400000000002
133,25107.64,298.0,79.9606,0.19703800000000002,0.21994
134,28827.53,368.0,75.6628,0.184424,0.23686999999999997
135,22308.3,246.0,86.8027,0.21322600000000003,0.286707
136,6736.17,92.0,71.6614,0.21949699999999997,0.189415
137,29353.06,343.0,81.7634,0.22821,0.195274
138,30092.0,367.0,79.1895,0.197398,0.20704299999999998
139,29047.04,352.0,78.5055,0.207655,0.204374
140,25697.41,368.0,66.7465,0.18875999999999998,0.230854
141,32700.74,412.0,76.0482,0.223349,0.222892
142,29194.33,340.0,82.9384,0.178162,0.25516300000000003
143,3414.59,52.0,64.4262,0.19863599999999998,0.357091
144,9673.61,98.0,91.2605,0.260658,0.33428
145,31580.17,371.0,82.24,0.23992199999999997,0.211774
146,30681.26,395.0,74.8323,0.18899999999999997,0.194431
147,29910.73,349.0,83.3168,0.20744,0.216692
148,40288.84,490.0,78.383,0.202193,0.19950299999999999
149,39286.19,443.0,85.2195,0.193579,0.201558
150,12374.92,112.0,104.8722,0.20834499999999997,0.15467
151,30330.89,454.0,64.6714,0.185396,0.231868
152,31831.12,406.0,75.6084,0.19026300000000002,0.213619
153,29866.62,390.0,74.2951,0.200021,0.203344
154,32893.61,398.0,79.0712,0.197427,0.197046
155,39426.59,465.0,81.4599,0.20981799999999998,0.21045
156,36964.07,433.0,82.1424,0.20177799999999999,0.21394000000000002
157,6860.23,86.0,71.4607,0.173965,0.273988
158,31635.41,414.0,73.5707,0.201741,0.21018499999999998
159,33624.73,372.0,86.6617,0.23720100000000002,0.21681399999999998
160,39551.69,404.0,93.7244,0.201888,0.16726
161,34240.95,386.0,86.46700000000001,0.207605,0.203738
162,39533.89,412.0,89.646,0.191904,0.221993
163,32866.96,408.0,78.0688,0.184902,0.255581
164,10585.59,100.0,98.9307,0.149565,0.194303
165,33640.63,429.0,76.2826,0.207312,0.21340399999999998
166,30821.8,390.0,75.7292,0.210175,0.217388
167,28739.85,360.0,77.0505,0.179091,0.213912
168,34161.3,365.0,91.0968,0.201827,0.190665
169,40032.11,421.0,91.6067,0.18845399999999998,0.206402
170,37546.03,328.0,110.7553,0.21458899999999997,0.216362
171,3711.27,44.0,84.34700000000001,0.215142,0.295931
172,25605.85,312.0,79.0304,0.186271,0.253784
173,25208.39,308.0,77.3263,0.206011,0.265086
174,29578.15,338.0,83.7908,0.212112,0.228965
175,25916.63,309.0,79.9896,0.18429600000000002,0.220392
176,35570.55,382.0,88.9264,0.182672,0.23598000000000002
177,30268.43,363.0,79.6538,0.18040699999999998,0.261623
178,8176.61,98.0,80.9565,0.179044,0.20818299999999998
179,32165.83,417.0,73.60600000000001,0.19761099999999998,0.209054
180,29363.6,427.0,65.6904,0.174246,0.24167600000000003
181,31240.7,398.0,75.8269,0.21187399999999998,0.20876
182,36956.39,427.0,83.9918,0.21111300000000002,0.1903
183,39556.41,479.0,79.7508,0.187642,0.19985899999999998
184,13897.04,147.0,92.0334,0.20821900000000002,0.282449
185,7362.2,72.0,96.8711,0.215614,0.181375
186,30181.4,411.0,70.1893,0.184891,0.208323
187,32319.66,386.0,81.8219,0.191957,0.212335
188,30048.15,363.0,79.0741,0.203816,0.215679
189,33286.66,386.0,82.3927,0.194662,0.199005
190,33034.64,419.0,75.7675,0.198652,0.23484000000000002
191,32521.57,348.0,91.3527,0.210461,0.245827
192,9045.92,94.0,92.3053,0.20647800000000002,0.157081
193,29767.49,390.0,73.6819,0.19804000000000002,0.23543899999999998
194,31812.21,381.0,80.5372,0.204698,0.22320500000000001
195,31037.24,353.0,84.3403,0.19453800000000002,0.21286
196,30403.67,345.0,85.1643,0.20951999999999998,0.21584
197,30072.19,382.0,75.7486,0.185864,0.23266799999999999
198,36208.62,388.0,89.6253,0.20279,0.240385
199,9324.27,86.0,107.1755,0.20108800000000002,0.22646999999999998
200,29191.62,365.0,76.2183,0.205531,0.233442
201,28581.75,302.0,90.7357,0.22055999999999998,0.24338600000000002
202,28544.55,330.0,82.4987,0.19651400000000002,0.22965
203,28768.41,324.0,85.8759,0.192217,0.21308000000000002
204,40938.98,443.0,89.7785,0.233631,0.17101
205,30240.46,306.0,95.6977,0.19403900000000002,0.241813
206,7252.47,78.0,86.3389,0.213716,0.23539200000000002
207,28927.26,349.0,77.553,0.209409,0.203852
208,22156.83,283.0,77.4714,0.210509,0.25162399999999996
209,25633.85,286.0,86.0196,0.20252799999999999,0.225003
210,22343.81,322.0,67.9143,0.198493,0.254287
211,38106.12,422.0,85.8246,0.21050700000000003,0.19819900000000001
212,32839.14,349.0,90.46600000000001,0.148822,0.238918
213,8584.73,103.0,80.2311,0.161644,0.279565
214,32538.36,427.0,72.7928,0.165741,0.20041099999999998
215,30105.63,356.0,80.9291,0.21665900000000002,0.21282199999999998
216,30001.3,336.0,85.4738,0.19236,0.212754
217,24354.28,326.0,71.6302,0.19503900000000002,0.24783899999999998
218,35497.06,389.0,86.3675,0.20645100000000002,0.245569
219,37616.98,389.0,92.8814,0.186192,0.22359600000000002
220,9114.0,96.0,91.14,0.16455699999999998,0.259549
221,32416.41,407.0,75.5627,0.20589000000000002,0.209954
222,25229.36,361.0,67.0994,0.193997,0.23520500000000003
223,29311.37,334.0,84.9605,0.18198399999999998,0.20941300000000002
224,28011.67,344.0,78.0269,0.195671,0.24403699999999998
225,39840.61,435.0,87.9484,0.18624100000000002,0.216781
226,36315.88,410.0,85.8531,0.19451,0.243242
227,9169.45,97.0,89.8966,0.197726,0.23789000000000002
228,27265.36,349.0,75.5273,0.191967,0.242654
229,27433.98,314.0,82.3843,0.210982,0.231512
230,27995.73,304.0,88.8753,0.209508,0.213804
231,24543.86,284.0,81.0028,0.19446,0.26597
232,30547.56,389.0,75.8004,0.180017,0.258306
233,36877.54,393.0,91.0557,0.201226,0.224361
234,8035.06,86.0,88.2974,0.389708,0.24329299999999998
235,27243.83,340.0,76.3132,0.17833,0.2354
236,32042.74,328.0,94.5214,0.187833,0.217185
237,25713.79,256.0,95.947,0.178332,0.21186999999999998
238,27077.52,313.0,80.8284,0.20874299999999998,0.249286
239,26547.25,360.0,71.1723,0.198605,0.29573
240,39210.28,437.0,84.8707,0.19397,0.21557600000000002
241,9837.34,79.0,114.3877,0.10441800000000001,0.263079
242,34155.06,435.0,74.9014,0.208594,0.212369
243,25557.09,322.0,76.748,0.19952899999999998,0.264219
244,32348.85,338.0,91.3809,0.186449,0.211977
245,28029.08,364.0,74.3477,0.210159,0.215317
246,30229.26,397.0,73.7299,0.19030999999999998,0.256902
247,28528.21,371.0,74.6812,0.176287,0.27421100000000004
248,9755.49,70.0,130.0732,0.184232,0.183666
249,13883.01,159.0,83.1318,0.177129,0.27182
250,28453.73,362.0,76.0795,0.18828399999999998,0.22473800000000002
251,21294.09,297.0,68.9129,0.184008,0.278979
252,27109.37,299.0,86.3356,0.220664,0.24581999999999998
253,33118.9,380.0,81.9775,0.203881,0.22372899999999998
254,32320.57,389.0,80.0014,0.19713,0.232094
255,8908.61,95.0,91.8413,0.20702399999999999,0.174959
256,25404.53,341.0,72.172,0.194529,0.254375
257,28050.4,306.0,86.5753,0.1798,0.244802
258,25042.45,312.0,77.0537,0.183864,0.265171
259,24262.54,271.0,84.5385,0.20790300000000003,0.26366999999999996
260,32703.35,386.0,81.7584,0.212846,0.24221399999999998
261,36405.77,388.0,89.4491,0.20256400000000002,0.230674
262,9014.36,78.0,102.4359,0.164706,0.197857
263,25521.89,293.0,83.1332,0.195241,0.22947399999999998
264,19421.14,231.0,79.5948,0.175966,0.243934
265,22992.89,295.0,74.4106,0.201934,0.262447
266,26315.35,300.0,83.5408,0.163287,0.21449200000000002
267,27186.78,377.0,71.5442,0.19279000000000002,0.264
268,31904.89,348.0,88.6247,0.194437,0.24329699999999999
269,9335.05,89.0,101.4679,0.173371,0.183801
270,29020.0,374.0,75.5729,0.18703399999999998,0.235646
271,28806.96,382.0,70.7788,0.18548299999999998,0.241954
272,28514.01,366.0,74.4491,0.25826,0.223142
273,25853.75,306.0,79.306,0.203923,0.23742600000000003
274,34097.05,433.0,76.6226,0.190838,0.23355700000000001
275,36639.89,416.0,85.209,0.181609,0.233359
276,8676.41,104.0,83.427,0.190876,0.20960900000000002
277,26097.16,387.0,64.7572,0.189229,0.25706999999999997
278,31575.34,347.0,86.7454,0.193501,0.20680500000000002
279,22799.4,302.0,71.6962,0.197735,0.224859
280,22598.68,310.0,69.965,0.192072,0.261283
281,34105.92,347.0,95.2679,0.195626,0.21782800000000002
282,27102.98,335.0,79.2485,0.196294,0.261018
283,9140.57,80.0,103.8701,0.17566500000000002,0.229154
284,30999.69,363.0,81.7934,0.195976,0.22929000000000002
285,25665.57,311.0,78.2487,0.20541399999999999,0.243339
286,24108.7,283.0,80.3623,0.180033,0.236775
287,30024.55,313.0,90.9835,0.206839,0.211429
288,24742.94,336.0,70.6941,0.186529,0.266904
289,38341.43,384.0,96.3353,0.201807,0.212698
290,7013.82,84.0,82.5155,0.190934,0.231219
291,24834.38,337.0,71.3632,0.208089,0.24560900000000002
292,27375.54,318.0,81.4748,0.213098,0.22949099999999997
293,22793.05,321.0,70.1325,0.186897,0.24306999999999998
294,22326.85,291.0,73.686,0.205233,0.267972
295,30089.22,338.0,84.0481,0.21679600000000002,0.23942600000000003
296,34024.46,355.0,92.4578,0.185067,0.23107600000000003
