ds,y
08/31/2019,9419.96
09/01/2019,7788.78
09/02/2019,5713.11
09/03/2019,4834.52
09/04/2019,3996.11
09/05/2019,4775.29
09/06/2019,4100.44
09/07/2019,5443.01
09/08/2019,3238.88
09/09/2019,5126.52
09/10/2019,5546.4
09/11/2019,6111.1
09/12/2019,8847.12
09/13/2019,5889.62
09/14/2019,10278.06
09/15/2019,3738.1
09/16/2019,9038.93
09/17/2019,5083.65
09/18/2019,6655.58
09/19/2019,5811.26
09/20/2019,7607.08
09/21/2019,6660.76
09/22/2019,4845.33
09/23/2019,6580.55
09/24/2019,4711.77
09/25/2019,6523.91
09/26/2019,5179.33
09/27/2019,7671.62
09/28/2019,10587.07
09/29/2019,3312.83
09/30/2019,6389.9
10/01/2019,8266.47
10/02/2019,6436.84
10/03/2019,3178.19
10/04/2019,7320.25
10/05/2019,8535.51
10/06/2019,5288.55
10/07/2019,7185.75
10/08/2019,5785.24
10/09/2019,8137.24
10/10/2019,6405.08
10/11/2019,4561.52
10/12/2019,11089.39
10/13/2019,3692.44
10/14/2019,7249.83
10/15/2019,4115.87
10/16/2019,4007.79
10/17/2019,4141.13
10/18/2019,3975.06
10/19/2019,9963.18
10/20/2019,5051.49
10/21/2019,5707.46
10/22/2019,7419.99
10/23/2019,6318.54
10/24/2019,3205.96
10/25/2019,6535.12
10/26/2019,8208.12
10/27/2019,3995.01
10/28/2019,8213.64
10/29/2019,3911.57
10/30/2019,4791.56
10/31/2019,5201.24
11/01/2019,7601.11
11/02/2019,10168.41
11/03/2019,3304.82
11/04/2019,6233.29
11/05/2019,5149.81
11/06/2019,5396.59
11/07/2019,3017.82
11/08/2019,4702.28
11/09/2019,9353.86
11/10/2019,5403.32
11/11/2019,4769.18
11/12/2019,4724.73
11/13/2019,4552.96
11/14/2019,4232.96
11/15/2019,6225.02
11/16/2019,9098.61
11/17/2019,6134.52
11/18/2019,7238.93
11/19/2019,8159.42
11/20/2019,3402.73
11/21/2019,3836.69
11/22/2019,4608.0
11/23/2019,11030.89
11/24/2019,2662.09
11/25/2019,5603.87
11/26/2019,9165.54
11/27/2019,7994.01
11/29/2019,4423.98
11/30/2019,4871.54
12/01/2019,5822.43
12/02/2019,4633.14
12/03/2019,3795.34
12/04/2019,5779.64
12/05/2019,4596.23
12/06/2019,4536.83
12/07/2019,10125.88
12/08/2019,3337.09
12/09/2019,4215.9
12/10/2019,5294.29
12/11/2019,5569.75
12/12/2019,4580.58
12/13/2019,6237.9
12/14/2019,9443.75
12/15/2019,3265.43
12/16/2019,5375.2
12/17/2019,5038.73
12/18/2019,4615.2
12/19/2019,5774.59
12/20/2019,6512.49
12/21/2019,5797.6
12/22/2019,2835.77
12/23/2019,8946.86
12/24/2019,2023.46
12/26/2019,5594.91
12/27/2019,9252.11
12/28/2019,5504.25
12/29/2019,5255.06
12/30/2019,7505.02
12/31/2019,9298.84
